,Hour_End,Time,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
4163,6/22/2016 13:00,2016-06-22 13:00:00,15971.97336,2012.372868,2526.902665,1206.838417,20361.85987,4780.557517,9552.444798,1478.441001,57891.39049
4164,6/22/2016 14:00,2016-06-22 14:00:00,16507.98878,2131.9477890000003,2602.1586620000003,1258.273009,21292.20845,5000.979391,10018.80692,1542.412916,60354.775910000004
4165,6/22/2016 15:00,2016-06-22 15:00:00,17105.5512,2172.796395,2654.763481,1293.7622390000001,21919.74859,5149.405094,10355.6864,1597.313127,62249.02652000001
4166,6/22/2016 16:00,2016-06-22 16:00:00,17650.878930000003,2196.82192,2704.148126,1320.552766,22261.00092,5260.833087,10645.42945,1643.70956,63683.37475
4167,6/22/2016 17:00,2016-06-22 17:00:00,17821.35464,2204.9097239999996,2735.571076,1330.190305,22423.409480000002,5298.046388000001,10830.29198,1674.680627,64318.454229999996
4168,6/22/2016 18:00,2016-06-22 18:00:00,17544.40013,2187.044346,2731.66048,1316.619142,22282.208919999997,5218.713331,10841.30429,1669.907595,63791.85823
4169,6/22/2016 19:00,2016-06-22 19:00:00,16942.849619999997,2110.761536,2699.296391,1287.7453779999998,21819.67983,5055.446787,10646.28177,1644.0757609999998,62206.13707999999
4170,6/22/2016 20:00,2016-06-22 20:00:00,16306.55222,2012.288734,2651.683915,1248.960105,21006.03773,4830.174287,10295.08693,1593.9830789999999,59944.76699
4171,6/22/2016 21:00,2016-06-22 21:00:00,15789.16117,1964.2157100000002,2546.2585879999997,1185.885953,19986.46935,4644.738711999999,9914.944008,1514.380179,57546.05367
4172,6/22/2016 22:00,2016-06-22 22:00:00,15269.941359999999,1905.769287,2482.077624,1155.1771199999998,19388.403619999997,4542.149146,9636.349573,1468.742325,55848.61006
4173,6/22/2016 23:00,2016-06-22 23:00:00,14247.80463,1736.8235760000002,2376.187328,1080.377643,17925.254380000002,4234.149264,8914.556078,1371.032152,51886.18505
4174,6/23/2016 0:00,2016-06-23 00:00:00,13224.7641,1609.23669,2261.2581,999.27901,16363.6711,3870.9185,8043.96769,1260.96501,47634.0602
4175,6/23/2016 1:00,2016-06-23 01:00:00,12345.86665,1493.185547,2177.664131,929.4531713,15141.31937,3559.7584119999997,7238.455759,1167.010991,44052.71403
4176,6/23/2016 2:00,2016-06-23 02:00:00,11686.3369,1419.110845,2103.161911,886.4413622999999,14224.468469999998,3311.280531,6749.528523999999,1105.5204449999999,41485.84898
4177,6/23/2016 3:00,2016-06-23 03:00:00,11233.30845,1359.419191,2049.14858,854.3129551000001,13512.89049,3131.710736,6369.538607,1060.219719,39570.54873
4178,6/23/2016 4:00,2016-06-23 04:00:00,10919.442079999999,1327.215198,2029.8236510000002,826.6478857999999,13081.70962,2963.942994,6083.557942,1027.497106,38259.83648
4179,6/23/2016 5:00,2016-06-23 05:00:00,10925.64041,1298.860711,2017.022616,815.1520614,12996.192340000001,2893.935756,5957.19351,1016.06484,37920.06224
4180,6/23/2016 6:00,2016-06-23 06:00:00,11278.99816,1336.758161,2023.046162,827.7927963999999,13332.05872,2918.442607,6077.534522,1019.328373,38813.9595
4181,6/23/2016 7:00,2016-06-23 07:00:00,11607.180540000001,1385.171003,2040.90946,854.086786,13844.18061,3017.115687,6402.466113,1047.411733,40198.52193
4182,6/23/2016 8:00,2016-06-23 08:00:00,12082.96152,1447.4109460000002,2065.428813,885.5378674000001,14361.999409999999,3113.6065940000003,6648.186019,1088.767437,41693.898610000004
4183,6/23/2016 9:00,2016-06-23 09:00:00,13028.618390000001,1552.5235810000001,2163.910266,949.8733568,15272.646219999999,3392.569135,7063.781341,1154.704626,44578.62691
4184,6/23/2016 10:00,2016-06-23 10:00:00,14045.3395,1677.4919830000001,2255.364811,1005.970234,16414.48096,3712.7743140000002,7579.251014,1223.386172,47914.05899
4185,6/23/2016 11:00,2016-06-23 11:00:00,15114.607269999999,1799.8965920000003,2352.2095670000003,1076.329569,17602.71229,4062.6297619999996,8166.27993,1307.671101,51482.33607
4186,6/23/2016 12:00,2016-06-23 12:00:00,16033.48084,1885.8807,2446.351711,1136.143053,18688.822790000002,4378.376636,8738.992087,1391.387809,54699.435620000004
4187,6/23/2016 13:00,2016-06-23 13:00:00,16806.342080000002,1992.4914440000002,2521.7082920000003,1194.402136,19697.50433,4664.594515,9283.824264,1468.6056859999999,57629.47275
4188,6/23/2016 14:00,2016-06-23 14:00:00,17497.80884,2067.178641,2596.873787,1245.241294,20651.65115,4913.189205,9756.888524,1539.3101589999999,60268.1416
4189,6/23/2016 15:00,2016-06-23 15:00:00,17953.73502,2132.565082,2657.027648,1283.84482,21427.17478,5109.621233,10107.89617,1602.3158369999999,62274.180589999996
4190,6/23/2016 16:00,2016-06-23 16:00:00,18084.36007,2185.72853,2699.450418,1307.571177,21887.89157,5189.797536,10393.17377,1648.380632,63396.3537
4191,6/23/2016 17:00,2016-06-23 17:00:00,18079.033069999998,2182.308841,2722.437277,1312.491261,22139.44009,5197.6125600000005,10578.14293,1670.709957,63882.17597999999
4192,6/23/2016 18:00,2016-06-23 18:00:00,17716.180080000002,2144.8334640000003,2696.5180370000003,1303.442452,22039.80064,5072.47597,10593.646659999999,1659.557857,63226.455160000005
4193,6/23/2016 19:00,2016-06-23 19:00:00,16831.40741,2097.969039,2650.669271,1276.895198,21496.44958,4905.444598,10437.31808,1615.751974,61311.905139999995
4194,6/23/2016 20:00,2016-06-23 20:00:00,16013.90615,2044.5121149999998,2610.6120530000003,1230.418458,20569.41635,4686.782112,10029.99165,1555.998023,58741.636920000004
4195,6/23/2016 21:00,2016-06-23 21:00:00,15458.766780000002,1954.791214,2529.392065,1174.5819179999999,19604.03219,4532.579206,9593.04807,1468.516346,56315.70779
4196,6/23/2016 22:00,2016-06-23 22:00:00,15010.745680000002,1889.221185,2487.110554,1134.090958,18994.2133,4466.116797,9310.4144,1425.305002,54717.21787000001
4197,6/23/2016 23:00,2016-06-23 23:00:00,13999.6169,1767.523282,2397.916256,1052.0256789999999,17517.66596,4210.527731,8567.446186,1338.064489,50850.78648
4198,6/24/2016 0:00,2016-06-24 00:00:00,12914.7912,1611.59032,2279.6245,971.6013199999999,15881.9709,3877.2708,7720.61312,1236.6629599999999,46494.12512
4199,6/24/2016 1:00,2016-06-24 01:00:00,12009.30175,1474.843846,2201.0520309999997,906.6694865000001,14436.56201,3586.952069,6929.108477,1146.9086519999998,42691.39832
4200,6/24/2016 2:00,2016-06-24 02:00:00,11351.94441,1373.459391,2133.710452,861.9661313999999,13388.28684,3371.5684,6416.88852,1088.6314710000001,39986.45562
4201,6/24/2016 3:00,2016-06-24 03:00:00,10855.032009999999,1316.682718,2088.0212699999997,826.2285254,12700.68158,3206.353788,6082.70567,1041.614179,38117.31974
4202,6/24/2016 4:00,2016-06-24 04:00:00,10592.8035,1229.0466720000002,2061.438647,801.3981932999999,12267.07937,3090.664934,5878.978948,1014.529827,36935.94009
